ID|Mesa|Mesero|Platillo|Cantidad|PrecioUnitario|Total|Hora
065|6|Torres|Enchiladas|4|90|360|17:16
066|14|Torres|Quesadillas|3|35|105|17:28
067|9|Jahaziel|Tamales|2|20|40|11:09
068|12|Jahaziel|Tacos|5|25|125|16:33
069|4|Torres|Tamales|1|20|20|09:26
070|12|Alex|Tacos|5|25|125|15:05
071|7|Jahaziel|Tamales|5|20|100|09:17
072|6|Zenqu|Gordas|5|30|150|15:18
073|15|Torres|Enchiladas|1|90|90|09:55
074|4|Alex|Gordas|5|30|150|21:23
075|6|Jahaziel|Gordas|5|30|150|13:01
076|14|Torres|Gordas|3|30|90|15:52
077|7|Alex|Tacos|1|25|25|12:29
078|8|Zenqu|Tamales|3|20|60|09:34
079|2|Torres|Tacos|4|25|100|16:44
080|12|Jahaziel|Enchiladas|4|90|360|20:10
081|15|Jahaziel|Tamales|2|20|40|13:16
082|8|Alex|Gordas|3|30|90|19:59
083|10|Zenqu|Tamales|2|20|40|19:03
084|15|Zenqu|Tacos|4|25|100|13:49
085|13|Zenqu|Quesadillas|1|35|35|09:02
086|14|Jahaziel|Enchiladas|3|90|270|12:09
087|15|Torres|Enchiladas|3|90|270|17:25
088|14|Torres|Tamales|2|20|40|18:34
089|11|Jahaziel|Enchiladas|3|90|270|10:19
090|12|Torres|Tacos|3|25|75|17:21
091|13|Alex|Tacos|5|25|125|14:57
092|6|Zenqu|Tamales|3|20|60|17:49
093|8|Jahaziel|Gordas|5|30|150|19:55
094|12|Torres|Gordas|4|30|120|08:30
095|3|Zenqu|Gordas|3|30|90|13:40
096|7|Alex|Quesadillas|5|35|175|17:17
097|4|Alex|Quesadillas|5|35|175|16:16
098|9|Jahaziel|Tacos|4|25|100|19:16
099|9|Jahaziel|Quesadillas|4|35|140|11:25
100|7|Torres|Quesadillas|3|35|105|09:43
101|10|Zenqu|Quesadillas|3|35|105|17:52
102|3|Torres|Tacos|4|25|100|08:17
103|4|Zenqu|Enchiladas|5|90|450|20:55
104|10|Alex|Quesadillas|2|35|70|08:14
105|10|Torres|Quesadillas|4|35|140|19:18
106|7|Zenqu|Quesadillas|5|35|175|10:14
107|4|Alex|Enchiladas|2|90|180|10:01
108|9|Torres|Tacos|4|25|100|14:41
109|11|Zenqu|Tamales|3|20|60|21:03
110|4|Alex|Tacos|5|25|125|20:11
111|6|Zenqu|Quesadillas|5|35|175|17:55
112|12|Alex|Gordas|5|30|150|16:16
113|15|Torres|Enchiladas|2|90|180|15:38
114|5|Torres|Tacos|2|25|50|19:43
115|13|Zenqu|Tamales|1|20|20|21:01
116|12|Alex|Gordas|1|30|30|17:55
117|1|Zenqu|Enchiladas|3|90|270|14:22
118|7|Zenqu|Gordas|3|30|90|14:31
119|12|Alex|Quesadillas|2|35|70|08:02
120|15|Torres|Gordas|5|30|150|20:40
121|12|Jahaziel|Gordas|4|30|120|17:04
122|2|Torres|Enchiladas|3|90|270|08:57
123|12|Jahaziel|Tamales|1|20|20|13:51
124|3|Zenqu|Tacos|1|25|25|21:47
125|7|Zenqu|Tacos|5|25|125|19:06
126|4|Jahaziel|Gordas|4|30|120|16:24
127|15|Zenqu|Tacos|3|25|75|20:48
128|10|Zenqu|Gordas|4|30|120|13:39
129|4|Torres|Quesadillas|1|35|35|13:26
130|12|Zenqu|Quesadillas|3|35|105|19:51
131|4|Jahaziel|Gordas|4|30|120|20:48
132|10|Jahaziel|Enchiladas|5|90|450|10:16
133|3|Jahaziel|Gordas|2|30|60|17:12
134|14|Zenqu|Tamales|3|20|60|19:10
135|1|Jahaziel|Enchiladas|3|90|270|16:23
136|12|Torres|Gordas|1|30|30|11:14
137|12|Jahaziel|Tamales|5|20|100|16:58
138|8|Torres|Quesadillas|5|35|175|21:28
139|4|Torres|Quesadillas|2|35|70|17:23
140|8|Torres|Enchiladas|3|90|270|15:58
141|2|Jahaziel|Tacos|5|25|125|13:30
142|11|Jahaziel|Quesadillas|4|35|140|18:02
143|9|Jahaziel|Quesadillas|2|35|70|13:48
144|3|Torres|Enchiladas|2|90|180|12:41
145|2|Alex|Gordas|2|30|60|17:13
146|8|Jahaziel|Enchiladas|2|90|180|15:03
147|11|Torres|Tacos|2|25|50|15:47
148|10|Jahaziel|Tamales|1|20|20|09:37
149|7|Jahaziel|Gordas|5|30|150|09:08
150|5|Torres|Tacos|4|25|100|08:09
151|1|Jahaziel|Tacos|4|25|100|10:17
152|9|Torres|Tamales|4|20|80|19:02
153|8|Jahaziel|Gordas|3|30|90|15:03
154|15|Zenqu|Gordas|5|30|150|11:43
155|4|Torres|Tacos|1|25|25|13:35
156|7|Jahaziel|Gordas|3|30|90|15:31
157|13|Zenqu|Tamales|2|20|40|12:25
158|12|Zenqu|Quesadillas|4|35|140|13:04
159|11|Alex|Quesadillas|4|35|140|13:15
160|6|Alex|Tamales|4|20|80|21:42
161|1|Jahaziel|Tamales|2|20|40|12:28
162|10|Alex|Tacos|1|25|25|12:53
163|6|Torres|Quesadillas|4|35|140|20:04
164|4|Jahaziel|Enchiladas|4|90|360|20:26
165|3|Zenqu|Tacos|4|25|100|15:34
166|4|Torres|Quesadillas|1|35|35|08:31
167|14|Zenqu|Quesadillas|5|35|175|13:10
168|12|Jahaziel|Enchiladas|5|90|450|17:35
169|6|Zenqu|Tacos|5|25|125|12:42
170|6|Torres|Tamales|2|20|40|12:20
171|14|Torres|Gordas|1|30|30|15:45
172|10|Zenqu|Gordas|2|30|60|18:23
173|12|Torres|Tamales|3|20|60|11:17
174|1|Jahaziel|Enchiladas|5|90|450|15:56
175|13|Zenqu|Tacos|2|25|50|20:00
176|6|Jahaziel|Enchiladas|2|90|180|18:26
177|2|Torres|Tacos|5|25|125|14:56
178|12|Torres|Tamales|3|20|60|12:09
179|3|Zenqu|Tacos|5|25|125|20:13
180|10|Jahaziel|Tacos|5|25|125|17:25
181|4|Torres|Gordas|4|30|120|15:08
182|13|Zenqu|Tacos|5|25|125|11:48
183|9|Jahaziel|Enchiladas|1|90|90|21:57
184|7|Torres|Enchiladas|5|90|450|19:27
185|11|Torres|Quesadillas|1|35|35|20:03
186|5|Jahaziel|Tamales|5|20|100|13:28
187|6|Jahaziel|Tamales|5|20|100|19:12
188|8|Zenqu|Tacos|4|25|100|20:15
189|7|Alex|Gordas|1|30|30|18:13
190|11|Jahaziel|Quesadillas|5|35|175|14:39
191|8|Jahaziel|Tacos|2|25|50|12:03
192|12|Alex|Tacos|1|25|25|14:57
193|7|Jahaziel|Enchiladas|5|90|450|10:33
194|14|Torres|Gordas|1|30|30|09:24
195|12|Torres|Tamales|3|20|60|09:50
196|8|Alex|Gordas|1|30|30|16:18
197|4|Jahaziel|Gordas|3|30|90|21:01
198|1|Alex|Tamales|3|20|60|13:48
199|12|Alex|Tacos|3|25|75|11:40
200|15|Jahaziel|Gordas|4|30|120|12:31
201|3|Jahaziel|Enchiladas|3|90|270|13:30
202|1|Zenqu|Tacos|5|25|125|21:58
203|9|Jahaziel|Gordas|2|30|60|21:00
204|2|Alex|Tamales|1|20|20|15:38
205|2|Jahaziel|Quesadillas|3|35|105|08:22
206|1|Zenqu|Enchiladas|3|90|270|09:47
207|15|Zenqu|Tacos|4|25|100|20:36
208|9|Torres|Quesadillas|1|35|35|18:05
209|14|Alex|Tacos|4|25|100|18:22
210|10|Zenqu|Quesadillas|4|35|140|08:48
211|14|Alex|Gordas|2|30|60|17:49
212|12|Alex|Enchiladas|5|90|450|10:14
213|15|Jahaziel|Tamales|5|20|100|08:01
214|11|Zenqu|Tacos|4|25|100|21:06
215|4|Zenqu|Tamales|4|20|80|14:45
216|9|Torres|Gordas|3|30|90|21:19
217|6|Alex|Tacos|3|25|75|10:57
218|9|Alex|Tacos|1|25|25|20:19
219|13|Jahaziel|Enchiladas|4|90|360|20:21
220|14|Jahaziel|Gordas|3|30|90|12:59
221|9|Alex|Gordas|3|30|90|18:47
222|3|Zenqu|Quesadillas|3|35|105|17:43
223|1|Torres|Quesadillas|4|35|140|19:33
224|6|Jahaziel|Gordas|5|30|150|14:58
225|11|Torres|Tacos|3|25|75|08:44
226|13|Alex|Tacos|4|25|100|20:58
227|4|Torres|Tamales|2|20|40|15:10
228|4|Torres|Tacos|4|25|100|18:31
229|5|Torres|Enchiladas|1|90|90|13:23
230|6|Torres|Enchiladas|4|90|360|16:32
231|13|Alex|Quesadillas|2|35|70|09:33
232|8|Torres|Tacos|2|25|50|12:35
233|9|Zenqu|Tacos|3|25|75|13:57
234|14|Alex|Tacos|5|25|125|10:32
235|13|Torres|Tacos|1|25|25|21:51
236|2|Jahaziel|Tamales|2|20|40|09:12
237|2|Jahaziel|Enchiladas|5|90|450|20:15
238|4|Alex|Gordas|1|30|30|16:23
239|3|Torres|Quesadillas|3|35|105|11:29
240|12|Torres|Tamales|1|20|20|21:23
241|14|Zenqu|Quesadillas|5|35|175|11:45
242|6|Zenqu|Quesadillas|5|35|175|17:52
243|8|Alex|Gordas|4|30|120|09:58
244|14|Zenqu|Tamales|1|20|20|21:31
245|2|Zenqu|Enchiladas|4|90|360|20:28
246|4|Alex|Enchiladas|2|90|180|17:30
247|13|Jahaziel|Tacos|4|25|100|10:11
248|3|Alex|Enchiladas|2|90|180|14:47
249|14|Zenqu|Quesadillas|1|35|35|11:32
250|8|Alex|Tacos|1|25|25|12:17
251|1|Torres|Gordas|3|30|90|18:34
252|15|Alex|Enchiladas|4|90|360|09:25
253|5|Zenqu|Enchiladas|1|90|90|15:56
254|5|Torres|Tacos|1|25|25|14:45
255|13|Torres|Tamales|4|20|80|13:16
256|15|Zenqu|Tacos|2|25|50|15:04
257|5|Zenqu|Quesadillas|5|35|175|11:48
258|11|Torres|Tacos|3|25|75|17:56
259|4|Jahaziel|Gordas|4|30|120|12:24
260|10|Zenqu|Enchiladas|1|90|90|12:04
261|2|Alex|Gordas|1|30|30|21:54
262|7|Zenqu|Gordas|5|30|150|17:38
263|15|Alex|Tamales|3|20|60|14:27
264|14|Torres|Tacos|4|25|100|16:51
265|7|Zenqu|Quesadillas|4|35|140|19:52
266|8|Zenqu|Tamales|4|20|80|08:39
267|4|Zenqu|Quesadillas|3|35|105|10:21
268|8|Alex|Gordas|1|30|30|08:22
269|1|Torres|Enchiladas|1|90|90|16:48
270|9|Zenqu|Quesadillas|2|35|70|19:06
271|5|Torres|Tacos|5|25|125|10:56
272|15|Alex|Enchiladas|1|90|90|19:45
273|13|Alex|Tamales|4|20|80|11:33
274|11|Zenqu|Tacos|4|25|100|16:31
275|4|Alex|Tacos|1|25|25|11:59
276|15|Jahaziel|Tacos|1|25|25|21:42
277|1|Jahaziel|Tamales|5|20|100|18:19
278|5|Zenqu|Enchiladas|5|90|450|10:48
279|10|Jahaziel|Tacos|2|25|50|19:04
280|14|Zenqu|Tamales|1|20|20|08:40
281|9|Jahaziel|Enchiladas|4|90|360|17:49
282|4|Jahaziel|Gordas|1|30|30|17:56
283|5|Alex|Enchiladas|5|90|450|19:51
284|7|Alex|Quesadillas|3|35|105|19:47
285|10|Zenqu|Enchiladas|2|90|180|19:08
286|3|Torres|Enchiladas|4|90|360|13:25
287|2|Zenqu|Tamales|5|20|100|13:24
288|4|Jahaziel|Tamales|3|20|60|20:05
289|2|Torres|Quesadillas|5|35|175|17:58
290|15|Zenqu|Tamales|5|20|100|16:16
291|13|Zenqu|Tamales|1|20|20|10:50
292|15|Zenqu|Gordas|3|30|90|18:23
293|8|Jahaziel|Enchiladas|5|90|450|15:40
294|2|Jahaziel|Quesadillas|1|35|35|08:45
295|11|Jahaziel|Enchiladas|3|90|270|09:35
296|14|Jahaziel|Quesadillas|3|35|105|16:05
297|10|Jahaziel|Tamales|4|20|80|17:15
298|2|Jahaziel|Gordas|4|30|120|18:46
299|7|Jahaziel|Tacos|2|25|50|12:26
300|12|Jahaziel|Gordas|2|30|60|19:59
